Date,Asset,Buy Date, Sell Date,Buy Price,Sell Price,Profit,Profit %,,
Apr/16/2018 12:30:21 AM,XRPBTC,Apr/15/2018 11:46:57 PM,Apr/16/2018 12:30:21 AM,0.00001074,0.00008220,0.00007146,665.3631285,,
Apr/16/2018 3:15:13 AM,IOTABTC,Apr/16/2018 3:15:13 AM,Apr/16/2018 12:30:21 AM,0.00019724,0.00008220,-0.00011504,665.3631285,,
Apr/16/2018 3:15:14 AM,XLMBTC,Apr/16/2018 3:15:14 AM,Apr/16/2018 12:30:21 AM,0.00003567,0.00008220,0.00004653,665.3631285,,
Apr/16/2018 4:15:00 AM,XRPBTC,Apr/16/2018 4:15:00 AM,Apr/16/2018 12:30:21 AM,0.00008184,0.00008220,0.00000036,665.3631285,,
Apr/16/2018 4:15:00 AM,XRPBTC,Apr/16/2018 4:15:00 AM,Apr/16/2018 12:30:21 AM,0.00008184,0.00008220,0.00000036,665.3631285,,
Apr/16/2018 4:15:02 AM,XLMBTC,Apr/16/2018 4:15:00 AM,Apr/16/2018 4:15:02 AM,0.00008184,0.00003538,-0.00004646,-56.76930596,,
Apr/16/2018 4:15:03 AM,ADABTC,Apr/16/2018 4:15:03 AM,Apr/16/2018 4:15:02 AM,0.00002934,0.00003538,0.00000604,-56.76930596,,
Apr/16/2018 5:15:04 AM,XVGBTC,Apr/16/2018 5:15:04 AM,Apr/16/2018 4:15:02 AM,0.00001039,0.00003538,0.00002499,-56.76930596,,
Apr/16/2018 5:15:09 AM,ADABTC,Apr/16/2018 5:15:04 AM,Apr/16/2018 5:15:09 AM,0.00001039,0.00002923,0.00001884,181.3282002,,
Apr/16/2018 5:15:19 AM,XVGBTC,Apr/16/2018 5:15:19 AM,Apr/16/2018 5:15:09 AM,0.00001040,0.00002923,0.00001883,181.3282002,,
Apr/16/2018 5:18:27 AM,IOTABTC,Apr/16/2018 5:15:19 AM,Apr/16/2018 5:18:27 AM,0.00001040,0.00019771,0.00018731,1801.057692,,
Apr/16/2018 5:18:53 AM,IOTABTC,Apr/16/2018 5:18:53 AM,Apr/16/2018 5:18:27 AM,0.00019798,0.00019771,-0.00000027,1801.057692,,
Apr/16/2018 5:18:54 AM,IOTABTC,Apr/16/2018 5:18:54 AM,Apr/16/2018 5:18:27 AM,0.00019797,0.00019771,-0.00000026,1801.057692,,
Apr/16/2018 5:19:18 AM,IOTABTC,Apr/16/2018 5:18:54 AM,Apr/16/2018 5:19:18 AM,0.00019797,0.00019780,-0.00000017,-0.085871597,,
Apr/16/2018 5:19:20 AM,IOTABTC,Apr/16/2018 5:18:54 AM,Apr/16/2018 5:19:20 AM,0.00019797,0.00019780,-0.00000017,-0.085871597,,
Apr/16/2018 5:19:44 AM,IOTABTC,Apr/16/2018 5:19:44 AM,Apr/16/2018 5:19:20 AM,0.00019843,0.00019780,-0.00000063,-0.085871597,,
Apr/16/2018 5:19:45 AM,IOTABTC,Apr/16/2018 5:19:45 AM,Apr/16/2018 5:19:20 AM,0.00019843,0.00019780,-0.00000063,-0.085871597,,
Apr/16/2018 5:19:46 AM,IOTABTC,Apr/16/2018 5:19:46 AM,Apr/16/2018 5:19:20 AM,0.00019843,0.00019780,-0.00000063,-0.085871597,,
Apr/16/2018 5:19:51 AM,IOTABTC,Apr/16/2018 5:19:51 AM,Apr/16/2018 5:19:20 AM,0.00019803,0.00019780,-0.00000023,-0.085871597,,
